word,frequency
race,103
radio,120
ran,134
range,160
rate,209
rather,373
reach,106
reaction,124
read,178
reading,140
ready,143
real,260
really,275
reason,241
recent,179
record,137
red,197
remember,138
report,174
research,171
respect,125
responsibility,118
rest,164
result,244
return,180
write,727
rise,102
river,165
road,237
role,139
room,384
run,212
running,123
wrote,181
after,1070
another,683
answer,152
better,414
center,226
character,118
consider,127
corner,115
during,585
either,284
ever,345
father,183
former,131
further,218
her,3037
however,552
latter,114
letter,145
longer,193
lower,123
manner,129
matter,308
member,137
mother,216
neither,141
never,698
number,472
officer,101
order,376
other,1702
over,1236
paper,157
per,371
power,342
summer,134
sure,264
together,267
under,707
water,442
weather,355
whatever,112
are,4459
army,132
art,208
car,274
charge,122
dark,185
far,427
farm,125
hard,202
hardly,106
heart,186
large,361
march,120
market,155
part,500
party,216
start,154
fire,187
appear,118
clear,219
experience,276
fear,127
hear,903
material,174
near,198
period,265
series,130
serious,116
spirit,182
theory,129
year,660
early,366
girl,220
world,787
air,266
american,569
area,323
care,162
hair,149
military,212
necessary,222
secretary,191
square,143
therefore,206
various,201
vary,830
where,938
before,1016
board,239
born,121
coarse,475
core,146
court,230
for,9855
force,230
form,370
forth,145
forward,115
hoarse,122
importance,108
more,2216
morning,219
nor,195
normal,136
north,206
or,4210
organization,127
original,103
performance,122
poor,124
short,212
sort,164
story,153
support,180
war,529
your,925
across,282
bring,158
british,118
brought,253
brown,176
congress,152
country,324
degree,125
district,135
drive,105
free,260
freedom,128
french,139
friend,133
from,4369
front,221
grate,668
green,116
ground,186
group,390
growth,155
hundred,171
increase,195
present,377
president,382
press,127
pressure,185
pretty,107
price,108
principal,201
private,191
probably,261
problem,313
process,196
production,148
professional,105
progress,120
property,156
provide,216
spring,127
straight,119
street,244
strength,136
stress,107
strong,202
three,610
threw,1015
throughout,141
trade,143
trial,134
tried,170
trouble,134
true,231
truth,126
try,140
see,997
cell,106
cent,309
central,164
century,207
certain,313
cite,157
city,393
said,1961
same,686
sat,150
saw,352
say,504
scene,385
science,131
seam,238
season,105
second,373
section,189
sense,311
serve,107
service,315
set,414
seven,113
several,377
side,380
similar,157
simple,161
since,628
single,172
situation,196
six,220
size,138
small,542
so,1990
social,380
society,237
some,1662
something,450
son,278
soon,199
sound,204
south,240
southern,137
subject,161
such,1303
sundae,101
supply,102
surface,200
system,416
also,1069
analysis,108
association,132
basic,171
basis,184
council,120
except,181
fiscal,116
herself,125
inside,174
myself,129
person,175
personal,196
policy,222
possible,373
purpose,149
question,257
university,214
audience,115
business,392
case,362
chance,131
choice,113
class,207
close,234
defense,167
difference,148
distance,108
else,176
evidence,204
existence,107
face,371
house,591
influence,132
its,1858
justice,114
less,438
mass,110
miss,258
office,255
once,499
peace,327
perhaps,307
place,571
police,155
religious,165
s,135
space,184
tax,197
this,5146
thus,312
unless,101
us,672
voice,226
yes,144
against,626
almost,432
ask,128
best,351
cost,229
east,183
first,1360
history,286
hospital,110
instead,173
interest,330
itself,304
just,872
last,676
least,343
list,133
lost,173
most,1160
must,1013
outside,210
past,281
school,492
speak,110
special,250
specific,115
spent,104
staff,113
stage,174
stand,148
standard,110
state,808
station,105
stay,113
step,131
still,782
stock,147
stood,212
stop,120
student,131
study,246
test,119
understand,137
west,235
western,137
thing,333
think,433
third,190
thought,515
through,1015
method,142
nothing,412
without,583
both,730
death,277
earth,150
faith,111
health,105
length,116
month,130
mouth,103
teeth,103
with,7289
than,1789
that,10595
the,69971
there,5394
them,1789
themselves,270
then,1377
these,1573
they,3618
those,850
though,442
shall,267
she,2859
shone,171
shot,112
should,888
show,287
action,291
addition,142
additional,120
commission,103
education,214
function,113
information,269
international,155
issue,152
machine,103
nation,139
national,375
operation,113
population,136
position,241
english,195
wish,110
general,497
j,139
job,238
individual,239
major,247
age,227
average,130
change,240
college,267
image,119
knowledge,145
language,109
chief,119
child,213
children,355
actual,100
actually,166
attention,179
future,227
natural,156
nature,191
approach,123
each,877
much,937
which,3562
labor,149
lack,110
land,217
late,179
law,299
lay,139
lead,261
learned,117
leave,205
left,480
let,384
level,213
life,715
light,333
like,1290
likely,151
limited,106
line,298
literature,133
little,831
live,177
living,194
local,288
long,755
look,399
lot,127
love,232
low,196
alone,195
along,355
already,273
always,458
available,245
believe,200
color,141
daily,122
island,167
million,204
only,1747
public,438
quality,114
value,200
volume,135
all,3001
ball,110
bill,143
call,188
deal,142
fall,147
feel,216
full,230
hall,157
hole,367
hotel,126
pool,111
tell,268
until,461
wall,160
well,897
while,680
will,2244
black,203
blew,155
blood,121
clay,100
club,145
floor,158
plain,162
plan,205
plant,125
play,200
came,622
can,1772
cannot,258
cant,170
cause,130
cold,171
come,630
coming,174
common,223
company,290
could,1599
couple,122
cut,192
keep,264
kept,186
kind,313
because,883
become,361
doctor,100
income,109
particular,179
physical,138
working,151
back,967
book,193
make,794
music,216
take,611
talk,154
took,426
walk,100
weak,307
work,760
game,123
gave,285
get,750
give,391
given,377
go,626
going,399
gone,195
good,807
got,482
government,417
again,578
ago,246
figure,209
big,360
design,114
easy,125
visit,109
as,7250
does,485
has,2439
his,6997
is,10099
needs,152
news,102
times,300
use,589
was,9816
whose,252
fact,447
family,331
feat,289
federal,246
feed,123
felt,358
few,601
field,274
final,156
finally,191
find,399
fine,161
firm,109
five,286
food,147
foreign,158
found,536
afternoon,106
beautiful,127
difficult,161
effect,213
often,368
enough,430
half,275
himself,603
if,2199
off,639
wife,228
view,186
activity,116
division,107
even,1171
evening,133
every,491
having,279
heavy,110
above,296
have,3941
move,171
of,36411
phonetics,7
schools,33
